player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Corey Nance,36643,T,LAMAR,1,100.0,0,204,58.4,57.6,57.6,0,2,17,100.0,100.0,94.1,0,2,0,33,0,0,0,33,18,18,0,33,15,0
Dedrick Parson,78572,HB,HOWARD,3,27.5,0,184,68.8,75.1,57.4,0,0,3,4.5,4.4,100.0,0,0,0,33,0,0,0,120,3,68,0,0,30,1
Trey Smith,78804,WR,SOUTHERN U,2,41.8,0,297,66.7,,61.3,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,79,0,46,0,0,33,0
Bud Hilburn,35964,TE,SE MO ST,2,62.3,0,293,47.5,71.3,50.4,0,0,5,20.8,20.0,100.0,0,0,0,33,0,0,0,53,5,25,0,0,28,47
Romello Shumake,47604,WR,JACKSON ST,2,43.4,0,194,67.5,,47.1,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,76,0,43,0,0,33,0
Daniel Santacaterina,34645,QB,SE MO ST,2,34.0,0,293,37.5,,60.6,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,97,0,60,0,0,33,0
Jacob Bystry,78891,WR,PORTLAND,5,51.6,0,269,62.5,,58.9,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,64,0,30,0,0,33,0
Case Cookus,46603,QB,N ARIZONA,1,53.2,0,252,69.3,,60.0,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,62,0,28,0,0,33,0
Corey Holmes,47548,WR,MORGAN ST,1,55.2,0,235,58.9,,61.6,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,58,0,26,0,0,32,0
Chris Anthony,59666,G,E KENTUCKY,2,100.0,0,159,67.0,69.3,66.1,0,0,11,100.0,100.0,100.0,0,0,0,32,0,29,0,32,12,12,3,0,20,0
Quintin Guice,34766,WR,GRAMBLING,2,47.8,0,177,61.7,,63.0,0,0,0,0.0,0.0,,1,0,0,32,0,0,0,67,0,35,0,0,32,0
Sam Bonansinga,42231,WR,S ILLINOIS,4,40.5,0,295,53.9,,62.4,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,79,0,45,0,0,32,0
John Lampley,63557,QB,SOUTHERN U,2,32.7,0,297,55.2,,60.0,0,0,0,0.0,0.0,,0,0,0,32,0,0,0,98,0,57,0,0,32,0
Devon Robinson,87375,G,YNGTOWN ST,1,100.0,0,353,42.2,36.9,53.1,0,2,14,100.0,100.0,85.7,1,3,1,32,0,0,0,32,15,15,0,32,17,0
Kendall Catalon,63661,WR,SOUTHERN U,2,36.4,0,297,62.9,,42.5,0,0,0,0.0,0.0,,1,0,0,32,0,0,0,88,0,55,0,0,32,0
