player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Colyn Givens,79242,DI,SOUTHERN U,3,0,0,,0,0,297,,54.9,77.6,54.8,55.9,26.0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,69,69,6,62,0,1,0,0,40,29,0,1,1,0,0,0,0,0,
Cameron Preston,79243,DI,INCAR WORD,12,13,0,,1,0,189,49.4,56.5,13.6,63.0,59.4,41.9,1,11,0,,16.7,6,0,5,0.0,0,1,1,0,0,527,526,339,183,2,2,0,1,289,238,0,12,17,0,13,0,0,0,
Jevin Jackson,79245,DI,HOWARD,11,8,0,,0,0,184,74.3,69.2,30.3,65.4,70.3,55.8,1,13,0,,16.7,4,0,3,0.0,0,3,8,0,1,467,458,91,361,0,6,0,9,213,253,0,14,12,0,17,0,0,0,
Judas McKenzie,79250,DI,BETH COOK,11,15,0,,0,0,119,59.8,75.0,85.7,56.9,82.0,56.8,1,10,0,,17.3,9,0,0,0.0,0,2,0,0,0,497,497,84,398,0,15,0,0,237,260,0,25,28,0,13,0,0,0,
Kameron Bowdry,79251,DI,S ILLINOIS,12,1,0,,0,0,295,,73.0,36.7,64.9,76.1,77.1,0,2,0,,0.0,0,0,1,0.0,0,2,0,0,0,165,165,41,124,0,0,0,0,66,99,0,6,5,0,4,0,0,0,
Travis Bell,79253,DI,KENNESAW,12,5,0,,0,0,200,59.9,78.0,60.3,72.0,81.0,69.9,2,19,0,,9.5,2,0,1,0.0,0,5,0,0,1,374,374,25,254,17,78,0,0,248,125,0,17,14,0,26,0,0,0,
Tyler Moore,79254,ED,KENNESAW,13,7,0,,1,2,200,62.7,70.4,64.2,72.2,65.2,69.1,4,13,0,,8.0,2,1,1,0.0,0,3,8,0,13,402,393,17,178,160,38,0,9,235,154,1,14,16,0,20,0,0,0,
Dante Carter,79257,DI,PRVIEW A&M,10,3,2,,0,0,270,58.1,59.1,8.0,67.9,58.3,43.5,1,11,0,,22.7,5,0,3,0.0,0,1,0,0,0,278,277,49,206,3,19,0,1,129,149,0,10,14,0,13,0,0,0,
Malik Medley,79262,ED,ELON,4,0,0,,0,0,162,,51.7,74.9,51.7,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,21,21,0,1,19,1,0,0,20,1,0,0,0,0,0,0,0,0,
Joey Barbera,79263,DI,ELON,9,5,0,,0,0,162,63.9,76.1,83.5,58.9,78.9,79.0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,174,174,127,47,0,0,0,0,71,103,0,7,8,0,1,0,0,0,
